"Category","LineCount","ClaimCount","AppealType","AutoAppealable","Priority","TotalClaimed","TotalApproved","Strategy"
"TARIFF_ADJUSTMENT","1825","289","Contractual","YES","High","3598748.37","3597917.23","Appeal with agreed tariff schedule reference. Most are 0.01 SAR rounding differences."
"MEDICATION_NOT_REGISTERED","317","62","Clinical + Regulatory","NO","Medium","255344.6","0","Provide SFDA registration proof or map to equivalent MOH-registered medication code."
"MEDICAL_NECESSITY","101","20","Clinical","NO","Medium","51589.04","0","Attach clinical justification letter from treating physician explaining medical necessity."
"MISSING_DOCUMENTS","62","47","Documentation","NO","High","54379.8","0","Resubmit with required supporting documents: discharge summary, operative notes, lab/radiology reports."
"ADMISSION_APPROVAL","60","4","Administrative","NO","Medium","8139.43","274.22","Provide admission approval document and clear discharge summary with admission/discharge dates."
"VITALLY_STABLE_NOTE","42","22","Clinical Review","NO","Low","199368.54","0","Clinical note (vitally stable). Review if severity justification needed."
"QUANTITY_EXCEEDED","25","21","Clinical","NO","Medium","42079.27","23734.3","Provide clinical justification for quantity exceeding standard limits with physician order."
"STATUS_NOTE","24","15","Administrative","NO","Low","55639.93","0","Administrative status note. Review if claim dates align with noted dates."
"CODE_REFERENCE","19","17","Review","NO","Low","163907.51","0","Reference code/amount. Cross-reference with payer denial codebook."
"ROOM_BOARD_INCLUSION","16","14","Contractual","NO","Low","30723.31","0","Review contract terms for room & board bundling. Provide contract clause if separately billable."
"PACKAGE_INCLUSION","15","11","Contractual","NO","Low","60338.42","0","Review if service is correctly bundled. Provide package definition if separately billable."
"NOT_IN_MV","13",,"Administrative","NO","Medium","33218.9","0","Service code not in master value list. Map to correct NPHIES/MOH code."
"OTHER","12","6","Manual Review","NO","Medium","117275.27","0","Manual review required. Examine specific denial text."
"PROCEDURE_NOT_DONE","9","8","Clinical","NO","High","32933.1","0","Provide operative notes proving the service was performed. Correct service code if coding error."
"DISCHARGE_INCOMPATIBLE","6","6","Clinical","NO","Medium","17954.5","0","Review discharge summary against billed services. Correct coding mismatches. Attach updated discharge report."
"PRIOR_AUTH_MISSING","4","4","Administrative","NO","High","2990.45","0","Provide pre-authorization reference. If emergency, attach emergency documentation for retrospective approval."
"MULTIPLE_PROCEDURE_RULES","1",,"Contractual","NO","Medium","12752.01","6376","Appeal if procedures were in separate sessions or on different anatomical sites."
